date,symbol,close,rsi,macd_hist,atr,ema50,ema200,regime,direction,score,filter_score,volume_spike,price_momentum,trend_strength,momentum_score,entry_ok,strategy_tag,stop_loss,take_profit,tp1,tp2,tp3,risk_reward,stop_loss_pct,reco_score,reco_strength
2025-11-21,GOOGL,299.464111328125,68.1,0.0544,10.3402,262.31,217.2,True,True,2,2,True,False,True,81,True,Sniper 🎯,283.95,351.16,330.48,351.16,382.19,3.33,5.18,10.371,57
2026-01-29,GOOGL,338.25,66.12,0.1087,8.0751,313.35,254.71,True,True,2,1,False,False,True,80,True,Sniper 🎯,326.14,378.63,362.48,378.63,402.85,3.33,3.58,8.313,45
2026-02-06,NVDA,185.41000366210938,51.14,-1.0355,6.4651,184.4,171.26,True,True,2,2,False,True,True,42,True,Defansif 🛡️,169.25,227.43,214.5,227.43,,2.6,8.72,10.457,57
2025-11-24,AVGO,377.2381896972656,61.16,0.2967,17.3409,343.84,290.47,True,True,2,3,True,True,True,77,True,Sniper 🎯,351.23,463.94,429.26,463.94,515.97,3.33,6.9,12.222,67
2026-01-13,AMD,220.97000122070312,55.14,0.3346,9.1065,214.8,180.23,True,True,2,2,True,False,True,74,True,Sniper 🎯,207.31,266.5,248.29,266.5,293.82,3.33,6.18,10.128,55
2025-11-28,INTC,40.560001373291016,64.45,0.1415,1.9042,35.06,27.62,True,True,2,1,False,False,True,79,True,Sniper 🎯,37.7,50.08,46.27,50.08,55.79,3.33,7.04,8.204,45
2026-01-02,INTC,39.380001068115234,58.17,0.04,1.6478,36.91,29.85,True,True,2,2,True,False,True,76,True,Sniper 🎯,36.91,47.62,44.32,47.62,52.56,3.33,6.28,10.134,55
2026-01-06,QCOM,182.4499969482422,64.4,0.2019,4.0815,172.22,162.9,True,True,2,2,True,False,True,79,True,Sniper 🎯,176.33,202.86,194.69,202.86,215.1,3.33,3.36,10.133,55
2026-01-06,TXN,190.854248046875,72.71,0.4529,4.722,173.59,177.82,True,True,2,2,True,True,False,84,True,Sniper 🎯,183.77,214.46,205.02,214.46,228.63,3.33,3.71,10.169,56
2025-12-03,SNOW,265.0,59.13,0.3126,10.3367,248.53,215.67,True,True,2,2,True,False,True,76,True,Sniper 🎯,249.49,316.68,296.01,316.68,347.69,3.33,5.85,10.11,55
2025-11-21,MU,207.2862548828125,44.31,-5.9883,15.7631,202.03,144.84,True,True,3,1,False,False,True,38,True,Defansif 🛡️,167.88,309.75,278.22,309.75,,2.6,19.01,8.68,47
2025-12-19,MU,265.8126220703125,61.95,0.2117,15.7107,223.07,161.4,True,True,2,2,True,False,True,78,True,Sniper 🎯,242.25,344.37,312.94,344.37,391.5,3.33,8.87,10.287,56
2026-01-22,ANET,138.41000366210938,59.95,0.6441,6.0376,131.23,124.96,True,True,2,3,True,True,True,77,True,Sniper 🎯,129.35,168.6,156.52,168.6,186.71,3.33,6.54,12.175,67
2026-01-05,SNPS,494.19000244140625,66.92,0.7908,14.1804,458.71,482.58,True,True,2,1,True,False,False,81,True,Sniper 🎯,472.92,565.09,536.73,565.09,607.63,3.33,4.3,8.057,44
2025-11-24,KLAC,1136.72998046875,48.85,-13.743,46.111,1108.48,929.62,True,True,2,1,False,False,True,40,True,Defansif 🛡️,1021.45,1436.45,1344.23,1436.45,,2.6,10.14,8.072,44
2025-12-19,KLAC,1245.6700439453125,58.46,0.387,44.0183,1159.74,975.06,True,True,2,2,True,False,True,76,True,Sniper 🎯,1179.64,1465.76,1377.73,1465.76,1597.82,3.33,5.3,10.038,55
2026-01-05,KLAC,1352.449951171875,67.25,4.8059,42.5716,1193.62,1000.53,True,True,2,3,True,True,True,81,True,Sniper 🎯,1288.59,1565.31,1480.16,1565.31,1693.02,3.33,4.72,12.122,66
2025-11-21,LRCX,142.41552734375,44.46,-3.0809,7.4645,141.78,110.06,True,True,3,1,False,False,True,38,True,Defansif 🛡️,123.75,190.94,176.01,190.94,,2.6,13.1,8.924,49
2025-12-19,LRCX,172.27000427246094,61.7,0.3775,7.4899,152.15,118.8,True,True,2,2,True,False,True,78,True,Sniper 🎯,161.04,209.72,194.74,209.72,232.19,3.33,6.52,10.092,55
2026-01-27,NET,205.9499969482422,61.06,1.4548,9.7899,196.29,187.84,True,True,2,3,True,True,True,77,True,Sniper 🎯,191.27,254.9,235.32,254.9,284.27,3.33,7.13,12.377,68
2026-01-05,BILL,53.66999816894531,51.15,-0.4382,1.8201,52.25,52.75,True,True,2,1,False,True,False,42,True,Defansif 🛡️,49.12,65.5,61.86,65.5,,2.6,8.48,8.123,44
2026-01-05,GS,948.4400024414062,71.63,0.5712,21.3194,845.17,736.44,True,True,2,3,True,True,True,83,True,Sniper 🎯,916.46,1055.04,1012.4,1055.04,1119.0,3.33,3.37,12.145,66
2026-01-15,GS,975.8599853515625,69.69,0.8919,22.6885,872.82,752.54,True,True,2,3,True,True,True,82,True,Sniper 🎯,941.83,1089.3,1043.93,1089.3,1157.37,3.33,3.49,12.093,66
2026-01-05,MS,185.51730346679688,69.2,0.0783,3.4905,170.38,150.13,True,True,2,2,True,False,True,82,True,Sniper 🎯,180.28,202.97,195.99,202.97,213.44,3.33,2.82,10.051,55
2026-01-16,MS,188.05332946777344,62.27,0.0668,3.9797,174.82,153.13,True,True,2,1,False,False,True,78,True,Sniper 🎯,182.08,207.95,199.99,207.95,219.89,3.33,3.17,8.069,44
2025-11-21,BAC,51.29344177246094,45.9,-0.3061,1.1149,51.25,47.53,True,True,2,1,False,False,True,39,True,Defansif 🛡️,48.51,58.54,56.31,58.54,,2.6,5.43,7.96,43
