date,symbol,close,rsi,macd_hist,atr,ema50,ema200,regime,direction,score,filter_score,volume_spike,price_momentum,trend_strength,momentum_score,entry_ok,strategy_tag,stop_loss,take_profit,tp1,tp2,tp3,risk_reward,stop_loss_pct,reco_score,reco_strength
2025-11-20,GOOGL,289.26080322265625,62.6,-0.551,10.0232,260.79,216.37,True,True,1,2,True,False,True,48,False,Defansif 🛡️,264.2,354.41,334.37,354.41,,2.6,8.66,9.277,51
2025-11-21,GOOGL,299.464111328125,68.1,0.0544,10.3402,262.31,217.2,True,True,2,2,True,False,True,81,True,Sniper 🎯,283.95,351.16,330.48,351.16,382.19,3.33,5.18,10.371,57
2025-11-24,GOOGL,318.3717346191406,75.33,1.5532,11.0164,264.51,218.2,True,True,1,3,True,True,True,85,False,Sniper 🎯,301.85,373.45,351.42,373.45,406.5,3.33,5.19,11.426,62
2025-11-25,GOOGL,323.22857666015625,76.78,2.6332,11.0275,266.81,219.25,True,True,1,3,True,True,True,86,False,Sniper 🎯,306.69,378.37,356.31,378.37,411.45,3.33,5.12,11.535,63
2025-11-26,GOOGL,319.7408752441406,73.43,2.8556,10.7902,268.89,220.25,True,True,1,1,False,False,True,84,False,Sniper 🎯,303.56,373.69,352.11,373.69,406.06,3.33,5.06,7.435,41
2025-11-28,GOOGL,319.970703125,73.51,2.7595,10.7376,270.89,221.24,True,True,0,1,False,False,True,84,False,Sniper 🎯,303.86,373.66,352.18,373.66,405.87,3.33,5.03,6.512,36
2025-12-01,GOOGL,314.6841735839844,68.29,2.1105,10.4196,272.61,222.17,True,True,0,1,False,False,True,81,False,Sniper 🎯,299.05,366.78,345.94,366.78,398.04,3.33,4.97,6.247,34
2025-12-02,GOOGL,315.6035461425781,68.71,1.5402,9.9944,274.29,223.1,True,True,0,1,False,False,True,82,False,Sniper 🎯,300.61,365.58,345.59,365.58,395.56,3.33,4.75,6.274,34
2025-12-03,GOOGL,319.42108154296875,70.44,1.2305,9.8145,276.06,224.06,True,True,0,1,False,False,True,83,False,Sniper 🎯,304.7,368.49,348.86,368.49,397.94,3.33,4.61,6.276,34
2025-12-04,GOOGL,317.4123840332031,68.3,0.7259,9.6602,277.68,224.99,True,True,0,1,False,False,True,81,False,Sniper 🎯,302.92,365.71,346.39,365.71,394.69,3.33,4.57,6.285,34
2025-12-05,GOOGL,321.0599670410156,70.08,0.4848,9.3657,279.38,225.94,True,True,0,1,False,False,True,82,False,Sniper 🎯,307.01,367.89,349.16,367.89,395.99,3.33,4.38,6.307,34
2025-12-08,GOOGL,313.7200012207031,62.47,-0.2808,9.3995,280.73,226.82,True,True,0,1,False,False,True,48,False,Defansif 🛡️,290.22,374.82,356.02,374.82,,2.6,7.49,6.254,34
2025-12-09,GOOGL,317.0799865722656,64.38,-0.6515,9.1631,282.16,227.72,True,True,0,1,False,False,True,49,False,Defansif 🛡️,294.17,376.64,358.31,376.64,,2.6,7.22,6.309,34
2025-12-10,GOOGL,320.2099914550781,66.1,-0.7684,8.9822,283.65,228.64,True,True,0,1,False,False,True,50,False,Normal 📈,302.25,369.61,351.65,369.61,387.58,2.75,5.61,6.305,34
2025-12-11,GOOGL,312.42999267578125,58.51,-1.4147,9.2349,284.78,229.47,True,True,0,1,False,False,True,46,False,Defansif 🛡️,289.34,372.46,353.99,372.46,,2.6,7.39,6.251,34
2025-12-12,GOOGL,309.2900085449219,55.72,-2.0595,9.2403,285.74,230.26,True,True,0,1,False,False,True,44,False,Defansif 🛡️,286.19,369.35,350.87,369.35,,2.6,7.47,6.227,34
2025-12-15,GOOGL,308.2200012207031,54.77,-2.5328,9.0474,286.62,231.04,True,True,0,1,False,False,True,44,False,Defansif 🛡️,285.6,367.03,348.93,367.03,,2.6,7.34,6.225,34
2025-12-16,GOOGL,306.57000732421875,53.25,-2.9051,8.9854,287.4,231.79,True,True,0,1,False,False,True,43,False,Defansif 🛡️,284.11,364.98,347.0,364.98,,2.6,7.33,6.234,34
2025-12-17,GOOGL,296.7200012207031,45.2,-3.7112,9.1986,287.77,232.44,True,True,0,1,False,False,True,38,False,Defansif 🛡️,273.72,356.51,338.11,356.51,,2.6,7.75,6.153,34
2025-12-18,GOOGL,302.4599914550781,49.95,-3.7435,9.0587,288.34,233.13,True,True,0,1,False,False,True,41,False,Defansif 🛡️,279.81,361.34,343.22,361.34,,2.6,7.49,6.236,34
2025-12-19,GOOGL,307.1600036621094,53.5,-3.3471,8.8602,289.08,233.87,True,True,1,2,True,False,True,43,False,Defansif 🛡️,285.01,364.75,347.03,364.75,,2.6,7.21,9.331,51
2025-12-22,GOOGL,309.7799987792969,55.4,-2.8277,8.5724,289.89,234.63,True,True,0,1,False,False,True,44,False,Defansif 🛡️,288.35,365.5,348.36,365.5,,2.6,6.92,6.388,35
2025-12-23,GOOGL,314.3500061035156,58.58,-2.1277,8.3615,290.85,235.42,True,True,0,1,False,False,True,46,False,Defansif 🛡️,293.45,368.7,351.98,368.7,,2.6,6.65,6.379,35
2025-12-24,GOOGL,314.0899963378906,58.33,-1.6546,7.9899,291.76,236.2,True,True,0,1,False,False,True,46,False,Defansif 🛡️,294.12,366.02,350.04,366.02,,2.6,6.36,6.417,35
2025-12-26,GOOGL,313.510009765625,57.72,-1.365,7.6199,292.62,236.97,True,True,0,1,False,False,True,45,False,Defansif 🛡️,294.46,363.04,347.8,363.04,,2.6,6.08,6.373,35
